部會/來源,分類,文件用途,檔案類型,檔名,大小KB,本機相對路徑,母本來源
勞動部,多元就業培力,申請表件/表格,PDF,02-5培力就業計畫114年度申請相關表格.pdf,595.4,files/勞動部/多元就業培力/02-5培力就業計畫114年度申請相關表格.pdf,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/勞動部/多元就業培力/02-5培力就業計畫114年度申請相關表格.pdf
勞動部,多元就業培力,補助要點/作業規範,PDF,7培力就業計畫推介作業注意事項.pdf,114.1,files/勞動部/多元就業培力/7培力就業計畫推介作業注意事項.pdf,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/勞動部/多元就業培力/7培力就業計畫推介作業注意事項.pdf
勞動部,多元就業開發,補助要點/作業規範,PDF,2多元就業開發方案補助作業要點(112.3.13修正發布).pdf,334.3,files/勞動部/多元就業開發/2多元就業開發方案補助作業要點(112.3.13修正發布).pdf,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/勞動部/多元就業開發/2多元就業開發方案補助作業要點(112.3.13修正發布).pdf
勞動部,多元就業開發,申請須知/作業須知,PDF,3多元就業開發方案民間團體計畫作業手冊.pdf,257.2,files/勞動部/多元就業開發/3多元就業開發方案民間團體計畫作業手冊.pdf,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/勞動部/多元就業開發/3多元就業開發方案民間團體計畫作業手冊.pdf
勞動部,多元就業開發,其他參考文件,PDF,4多元就業開發方案人員留用獎勵要點.pdf,102.9,files/勞動部/多元就業開發/4多元就業開發方案人員留用獎勵要點.pdf,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/勞動部/多元就業開發/4多元就業開發方案人員留用獎勵要點.pdf
勞動部,多元就業開發,補助要點/作業規範,PDF,5多元就業開發方案進用及工作規範.pdf,113.2,files/勞動部/多元就業開發/5多元就業開發方案進用及工作規範.pdf,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/勞動部/多元就業開發/5多元就業開發方案進用及工作規範.pdf
勞動部,多元就業開發,其他參考文件,PDF,●公告(用印版).pdf,181.3,files/勞動部/多元就業開發/●公告(用印版).pdf,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/勞動部/多元就業開發/●公告(用印版).pdf
勞動部,多元就業開發/社會型,申請表件/表格,Word,02-2多元方案114年計畫申請相關表格-社會型(機構類).docx,72.0,files/勞動部/多元就業開發/社會型/02-2多元方案114年計畫申請相關表格-社會型(機構類).docx,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/勞動部/多元就業開發/社會型/02-2多元方案114年計畫申請相關表格-社會型(機構類).docx
勞動部,多元就業開發/社會型,申請表件/表格,PDF,02-2多元方案114年計畫申請相關表格-社會型(機構類).pdf,415.8,files/勞動部/多元就業開發/社會型/02-2多元方案114年計畫申請相關表格-社會型(機構類).pdf,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/勞動部/多元就業開發/社會型/02-2多元方案114年計畫申請相關表格-社會型(機構類).pdf
勞動部,多元就業開發/社會型,申請表件/表格,Word,02-3多元方案114年計畫申請相關表格-社會型.docx,71.9,files/勞動部/多元就業開發/社會型/02-3多元方案114年計畫申請相關表格-社會型.docx,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/勞動部/多元就業開發/社會型/02-3多元方案114年計畫申請相關表格-社會型.docx
勞動部,多元就業開發/社會型,申請表件/表格,PDF,02-3多元方案114年計畫申請相關表格-社會型.pdf,460.2,files/勞動部/多元就業開發/社會型/02-3多元方案114年計畫申請相關表格-社會型.pdf,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/勞動部/多元就業開發/社會型/02-3多元方案114年計畫申請相關表格-社會型.pdf
勞動部,多元就業開發/經濟型,申請表件/表格,Word,02-4多元方案114年度計畫申請相關表格-經濟型(相對補助).doc,428.0,files/勞動部/多元就業開發/經濟型/02-4多元方案114年度計畫申請相關表格-經濟型(相對補助).doc,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/勞動部/多元就業開發/經濟型/02-4多元方案114年度計畫申請相關表格-經濟型(相對補助).doc
勞動部,多元就業開發/經濟型,申請表件/表格,PDF,02-4多元方案114年度計畫申請相關表格-經濟型(相對補助).pdf,701.6,files/勞動部/多元就業開發/經濟型/02-4多元方案114年度計畫申請相關表格-經濟型(相對補助).pdf,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/勞動部/多元就業開發/經濟型/02-4多元方案114年度計畫申請相關表格-經濟型(相對補助).pdf
勞動部,多元就業開發/經濟型,申請表件/表格,Word,02-4多元方案114年度計畫申請相關表格-經濟型.doc,427.5,files/勞動部/多元就業開發/經濟型/02-4多元方案114年度計畫申請相關表格-經濟型.doc,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/勞動部/多元就業開發/經濟型/02-4多元方案114年度計畫申請相關表格-經濟型.doc
勞動部,多元就業開發/經濟型,申請表件/表格,PDF,02-4多元方案114年度計畫申請相關表格-經濟型.pdf,701.9,files/勞動部/多元就業開發/經濟型/02-4多元方案114年度計畫申請相關表格-經濟型.pdf,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/勞動部/多元就業開發/經濟型/02-4多元方案114年度計畫申請相關表格-經濟型.pdf
原民會,多元產業2.0申請文件,申請表件/表格,ODF 文字,多元產業2.0-先期計畫申請案件彙總表.odt,16.1,files/原民會/多元產業2.0申請文件/多元產業2.0-先期計畫申請案件彙總表.odt,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/原民會/多元產業2.0申請文件/多元產業2.0-先期計畫申請案件彙總表.odt
原民會,多元產業2.0申請文件,計畫書格式/範本,PDF,多元產業2.0部落產業升級-先期計畫書格式.pdf,332.2,files/原民會/多元產業2.0申請文件/多元產業2.0部落產業升級-先期計畫書格式.pdf,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/原民會/多元產業2.0申請文件/多元產業2.0部落產業升級-先期計畫書格式.pdf
原民會,多元產業2.0申請文件,申請須知/作業須知,PDF,多元產業2.0部落產業升級-先期計畫補助申請手冊.pdf,497.6,files/原民會/多元產業2.0申請文件/多元產業2.0部落產業升級-先期計畫補助申請手冊.pdf,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/原民會/多元產業2.0申請文件/多元產業2.0部落產業升級-先期計畫補助申請手冊.pdf
原民會,多元產業2.0申請文件,申請須知/作業須知,PDF,多元產業2.0部落產業升級-補助及管考作業須知.pdf,569.7,files/原民會/多元產業2.0申請文件/多元產業2.0部落產業升級-補助及管考作業須知.pdf,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/原民會/多元產業2.0申請文件/多元產業2.0部落產業升級-補助及管考作業須知.pdf
原民會,推動原住民族多元產業發展2.0,核定本/政策計畫,PDF,前瞻基礎建設計畫－城鄉建設－推動原住民族多元產業發展2.0計畫（核定本）.pdf,2167.2,files/原民會/推動原住民族多元產業發展2.0/前瞻基礎建設計畫－城鄉建設－推動原住民族多元產業發展2.0計畫（核定本）.pdf,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/原民會/推動原住民族多元產業發展2.0/前瞻基礎建設計畫－城鄉建設－推動原住民族多元產業發展2.0計畫（核定本）.pdf
原民會,部落之心示範點,其他參考文件,PDF,部落之心示範點建置補助計畫(110修訂版)0319公布.pdf,347.5,files/原民會/部落之心示範點/部落之心示範點建置補助計畫(110修訂版)0319公布.pdf,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/原民會/部落之心示範點/部落之心示範點建置補助計畫(110修訂版)0319公布.pdf
國發會,公有空間,補助要點/作業規範,PDF,地方創生公有建築空間整備活化補助作業要點附件.pdf,337.3,files/國發會/公有空間/地方創生公有建築空間整備活化補助作業要點附件.pdf,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/國發會/公有空間/地方創生公有建築空間整備活化補助作業要點附件.pdf
國發會,利他行動168,申請須知/作業須知,PDF,115年度地方創生利他行動168專案申請須知.pdf,651.6,files/國發會/利他行動168/115年度地方創生利他行動168專案申請須知.pdf,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/國發會/利他行動168/115年度地方創生利他行動168專案申請須知.pdf
國發會,多元徵件,核定本/政策計畫,PDF,打造永續共好地方創生計畫(114至117年)核定本.pdf,54935.5,files/國發會/多元徵件/打造永續共好地方創生計畫(114至117年)核定本.pdf,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/國發會/多元徵件/打造永續共好地方創生計畫(114至117年)核定本.pdf
國發會,獎勵金,申請須知/作業須知,PDF,113年度獎勵青年投入地方創生行動計畫申請須知.pdf,790.1,files/國發會/獎勵金/113年度獎勵青年投入地方創生行動計畫申請須知.pdf,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/國發會/獎勵金/113年度獎勵青年投入地方創生行動計畫申請須知.pdf
國發會,獎勵金,計畫書格式/範本,Word,【WORD】申請計畫書格式及相關附件.docx,965.2,files/國發會/獎勵金/【WORD】申請計畫書格式及相關附件.docx,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/國發會/獎勵金/【WORD】申請計畫書格式及相關附件.docx
國發會,青培站,申請須知/作業須知,PDF,國家發展委員會112 年度補助「地方創生青年培力工作站」申請須知.pdf,398.3,files/國發會/青培站/國家發展委員會112 年度補助「地方創生青年培力工作站」申請須知.pdf,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/國發會/青培站/國家發展委員會112 年度補助「地方創生青年培力工作站」申請須知.pdf
總表,,總表/其他參考文件,Excel,地方創生資源計畫一覽表_v2024 持續更新.xlsx,28.8,files/地方創生資源計畫一覽表_v2024 持續更新.xlsx,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/地方創生資源計畫一覽表_v2024 持續更新.xlsx
客委會,,計畫書格式/範本,ODF 文字,客家委員會推動客庄產業創新加值補助計畫書格式.odt,29.1,files/客委會/客家委員會推動客庄產業創新加值補助計畫書格式.odt,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/客委會/客家委員會推動客庄產業創新加值補助計畫書格式.odt
客委會,,其他參考文件,PDF,客家委員會推動客庄產業創新加值計畫.pdf,432.7,files/客委會/客家委員會推動客庄產業創新加值計畫.pdf,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/客委會/客家委員會推動客庄產業創新加值計畫.pdf
客委會,,其他參考文件,PDF,客庄小旅行-30萬.pdf,264.2,files/客委會/客庄小旅行-30萬.pdf,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/客委會/客庄小旅行-30萬.pdf
客委會,,其他參考文件,PDF,客庄特色產業節-100萬.pdf,266.3,files/客委會/客庄特色產業節-100萬.pdf,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/客委會/客庄特色產業節-100萬.pdf
客委會,,其他參考文件,PDF,桐花小旅行－20萬.pdf,268.2,files/客委會/桐花小旅行－20萬.pdf,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/客委會/桐花小旅行－20萬.pdf
客委會,,其他參考文件,PDF,臺三線陶瓷產業-100萬.pdf,269.7,files/客委會/臺三線陶瓷產業-100萬.pdf,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/客委會/臺三線陶瓷產業-100萬.pdf
教育部,青聚點,補助要點/作業規範,PDF,教育部青年發展署補助地方政府打造地方創生區域性青聚點作業要點.pdf,93.9,files/教育部/青聚點/教育部青年發展署補助地方政府打造地方創生區域性青聚點作業要點.pdf,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/教育部/青聚點/教育部青年發展署補助地方政府打造地方創生區域性青聚點作業要點.pdf
文化部,,補助要點/作業規範,PDF,113年修正後-文化部推動地方創生文化環境營造補助作業規範.pdf,461.8,files/文化部/113年修正後-文化部推動地方創生文化環境營造補助作業規範.pdf,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/文化部/113年修正後-文化部推動地方創生文化環境營造補助作業規範.pdf
文化部,,其他參考文件,PDF,113年文化路徑計畫.pdf,527.1,files/文化部/113年文化路徑計畫.pdf,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/文化部/113年文化路徑計畫.pdf
文化部,,其他參考文件,PDF,文化部地方創生計畫格式-2.pdf,517.8,files/文化部/文化部地方創生計畫格式-2.pdf,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/文化部/文化部地方創生計畫格式-2.pdf
文化部,,申請表件/表格,ODF 文字,文化部推動地方創生文化環境營造-申請表件.odt,61.9,files/文化部/文化部推動地方創生文化環境營造-申請表件.odt,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/文化部/文化部推動地方創生文化環境營造-申請表件.odt
文化部,,計畫書格式/範本,PDF,文化部推動地方創生文化環境營造-計畫書.pdf,517.8,files/文化部/文化部推動地方創生文化環境營造-計畫書.pdf,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/文化部/文化部推動地方創生文化環境營造-計畫書.pdf
海洋委員會,,其他參考文件,PDF,海洋地方創生與產業活絡及永續經營補捐助徵件計畫.pdf,218.1,files/海洋委員會/海洋地方創生與產業活絡及永續經營補捐助徵件計畫.pdf,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/海洋委員會/海洋地方創生與產業活絡及永續經營補捐助徵件計畫.pdf
海洋委員會,,申請表件/表格,ODF 文字,附件2-申請書及計畫書-地方政府.odt,30.0,files/海洋委員會/附件2-申請書及計畫書-地方政府.odt,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/海洋委員會/附件2-申請書及計畫書-地方政府.odt
海洋委員會,,申請表件/表格,ODF 文字,附件3-申請書及計畫書-民間團體.odt,24.9,files/海洋委員會/附件3-申請書及計畫書-民間團體.odt,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/海洋委員會/附件3-申請書及計畫書-民間團體.odt
海洋委員會,,評分/審查,ODF 文字,附件4-評分項目及配分.odt,13.4,files/海洋委員會/附件4-評分項目及配分.odt,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/海洋委員會/附件4-評分項目及配分.odt
環境部,,補助要點/作業規範,PDF,環境部資源循環署-「推動資源循環地方創生計畫補助作業要點」-20241119 (1).pdf,332.9,files/環境部/環境部資源循環署-「推動資源循環地方創生計畫補助作業要點」-20241119 (1).pdf,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/環境部/環境部資源循環署-「推動資源循環地方創生計畫補助作業要點」-20241119 (1).pdf
經濟部,SBTR城鄉創生轉型,申請須知/作業須知,PDF,113年SBTR輔導作業申請須知.pdf,1202.4,files/經濟部/SBTR城鄉創生轉型/113年SBTR輔導作業申請須知.pdf,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/經濟部/SBTR城鄉創生轉型/113年SBTR輔導作業申請須知.pdf
經濟部,SBTR城鄉創生轉型,說明簡報/FAQ,PDF,12玖-1 常見問答 (FAQs)永續多元輔導方案常見問答集QA.pdf,724.9,files/經濟部/SBTR城鄉創生轉型/12玖-1 常見問答 (FAQs)永續多元輔導方案常見問答集QA.pdf,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/經濟部/SBTR城鄉創生轉型/12玖-1 常見問答 (FAQs)永續多元輔導方案常見問答集QA.pdf
經濟部,配合地方創生推動城鄉特色發展計畫,申請須知/作業須知,PDF,中企署-配合地方創生推動城鄉特色發展計畫-申請須知11307.pdf,972.6,files/經濟部/配合地方創生推動城鄉特色發展計畫/中企署-配合地方創生推動城鄉特色發展計畫-申請須知11307.pdf,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/經濟部/配合地方創生推動城鄉特色發展計畫/中企署-配合地方創生推動城鄉特色發展計畫-申請須知11307.pdf
經濟部,配合地方創生推動城鄉特色發展計畫,計畫書格式/範本,Word,中企署-配合地方創生推動城鄉特色發展計畫-計畫書格式11307v.docx,432.7,files/經濟部/配合地方創生推動城鄉特色發展計畫/中企署-配合地方創生推動城鄉特色發展計畫-計畫書格式11307v.docx,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/經濟部/配合地方創生推動城鄉特色發展計畫/中企署-配合地方創生推動城鄉特色發展計畫-計畫書格式11307v.docx
經濟部,配合地方創生推動城鄉特色發展計畫/附件表單,計畫書格式/範本,PowerPoint,113.07度配合地方創生_廠商提案簡報建議框架.pptx,148.9,files/經濟部/配合地方創生推動城鄉特色發展計畫/附件表單/113.07度配合地方創生_廠商提案簡報建議框架.pptx,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/經濟部/配合地方創生推動城鄉特色發展計畫/附件表單/113.07度配合地方創生_廠商提案簡報建議框架.pptx
經濟部,配合地方創生推動城鄉特色發展計畫/附件表單,申請表件/表格,Word,附件一、提案申請表.docx,69.3,files/經濟部/配合地方創生推動城鄉特色發展計畫/附件表單/附件一、提案申請表.docx,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/經濟部/配合地方創生推動城鄉特色發展計畫/附件表單/附件一、提案申請表.docx
經濟部,配合地方創生推動城鄉特色發展計畫/附件表單,其他參考文件,PowerPoint,附件三、申請個案一頁簡報(113.7版).pptx,45.0,files/經濟部/配合地方創生推動城鄉特色發展計畫/附件表單/附件三、申請個案一頁簡報(113.7版).pptx,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/經濟部/配合地方創生推動城鄉特色發展計畫/附件表單/附件三、申請個案一頁簡報(113.7版).pptx
經濟部,配合地方創生推動城鄉特色發展計畫/附件表單,申請表件/表格,Word,附件九、企業未滿五人聲明書.docx,63.5,files/經濟部/配合地方創生推動城鄉特色發展計畫/附件表單/附件九、企業未滿五人聲明書.docx,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/經濟部/配合地方創生推動城鄉特色發展計畫/附件表單/附件九、企業未滿五人聲明書.docx
經濟部,配合地方創生推動城鄉特色發展計畫/附件表單,申請表件/表格,Word,附件六、蒐集個人資料告知事項暨個人資料提供同意書.docx,64.4,files/經濟部/配合地方創生推動城鄉特色發展計畫/附件表單/附件六、蒐集個人資料告知事項暨個人資料提供同意書.docx,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/經濟部/配合地方創生推動城鄉特色發展計畫/附件表單/附件六、蒐集個人資料告知事項暨個人資料提供同意書.docx
經濟部,配合地方創生推動城鄉特色發展計畫/附件表單,申請表件/表格,Word,附件十、徵信查詢同意書.docx,62.0,files/經濟部/配合地方創生推動城鄉特色發展計畫/附件表單/附件十、徵信查詢同意書.docx,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/經濟部/配合地方創生推動城鄉特色發展計畫/附件表單/附件十、徵信查詢同意書.docx
衛福部,,補助要點/作業規範,PDF,打造永續共好地方創生計畫-長照社區共生互助計畫補助作業要點.pdf,467.1,files/衛福部/打造永續共好地方創生計畫-長照社區共生互助計畫補助作業要點.pdf,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/衛福部/打造永續共好地方創生計畫-長照社區共生互助計畫補助作業要點.pdf
農業部,,其他參考文件,PDF,113年農糧署輔導設置農村社區農產品銷售據點計畫說明簡章-fin1.pdf,197.0,files/農業部/113年農糧署輔導設置農村社區農產品銷售據點計畫說明簡章-fin1.pdf,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/農業部/113年農糧署輔導設置農村社區農產品銷售據點計畫說明簡章-fin1.pdf
農業部,,說明簡報/FAQ,PDF,農村社區企業經營輔導計畫說明簡報.pdf,4464.4,files/農業部/農村社區企業經營輔導計畫說明簡報.pdf,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/農業部/農村社區企業經營輔導計畫說明簡報.pdf
