orgName,planName,closed,applyTarget,planSubject,planResType,planLink,resourceCount,resourceNames,resourceLinks,uid,planContent
農業部,推動智能防災設施型農業計畫補助,False,"personal,people-team,","public-construction,country-farming,","environment-construction,management-counseling,",https://www.afa.gov.tw/cht/index.php?code=list&flag=detail&ids=3501&article_id=11167,0,,,b66d64e3-86fd-4088-8439-aeef59e39461,輔導農戶興設結構加強型溫網室設施，提升防災生產效能，生產高品質蔬果、花卉及其種苗等農產品，進以提升經營效率及穩定市場供需。
農業部,農業科技產學合作計畫,False,"people-team,apply-target-other,","country-farming,plan-subject-other,","talent-cultivation,plan-restype-other,",https://www.aiuc.org.tw/,0,,,7b1da542-daa0-449e-b254-b7baec116587,鼓勵學研機構提出具商品化發展潛力之初步成果，邀請業界出資合作研發，將具有產業需求之優良技術推向產業應用。
教育部,促進青年公共參與獎補助,False,"people-team,apply-target-other,","plan-subject-other,","talent-cultivation,",https://www.yda.gov.tw/docDetail.aspx?uid=119&pid=58&docid=237,0,,,7c1027c1-98e1-426f-903c-299851a691cb,為強化青年公共參與能力，提供多元公共參與機會，並鼓勵青年積極參與公共事務。
屏東縣政府,地方產業創新研發推動計畫（地方型 SBIR）,False,"enterprise,apply-target-other,","industry-technology,plan-subject-other,","plan-restype-other,",https://www.i-direct.com.tw/pthg-sbir,0,,,d8c03fad-87ba-46e1-968a-6dd8d570becd,屏東縣政府為鼓勵縣內中小企業加強創新研發活動，協助縣內產業經濟佈局，特依據『經濟部配合協助直轄市、縣(市)政府辦理「地方產業創新研發推動計畫」(地方型SBIR)申請作業須知』，訂定『屏東縣政府地方產業創新研發推動計畫(地方型SBIR)』，以加速提升屏東縣中小企業之產業競爭力，促進屏東縣產業發展。
屏東縣政府,社區營造及村落文化發展計畫,False,"people-team,apply-target-other,","cultural-history,public-construction,","environment-construction,",https://www.cultural.pthg.gov.tw/News_Content.aspx?n=6EA9BF953D791947&sms=51F68C03AEA9C979&s=D66C5338D7CB17D8,1,社區營造點徵選補助計畫,https://www.twrr.ndc.gov.tw/core-api/resource/repo/2024/483830584.pdf,77af1900-c1b1-473e-8ed1-b59435a4068e,為鼓勵本縣鄉鎮市公所及社區組織厚植多元文化能量，均衡城鄉資源，建立文化平權， 拓展社區創新能量，深化社區居民參與公共事務，進而達到促進文化扎根，擴大民間參與及行政分層培力的目標。
高雄市政府,地方產業創新研發推動計畫（地方型SBIR）,False,"enterprise,","industry-technology,plan-subject-other,","management-counseling,plan-restype-other,",https://96kuas.kcg.gov.tw/sbir/,0,,,dda9b5c3-5585-44d3-8608-e33fef8f8720,為培養本市中小企業創新研發能力與競爭力，鼓勵創新創業及中小企業在地紮根，依據訂定高雄市政府「地方產業創新研發推動計畫」（地方型SBIR），以加速提升高雄市中小企業競爭力，培育創新創業，增加投資高雄、創造就業機會、拉近產業距離以及縮短產業差距的機會。
澎湖縣政府,澎湖縣地方產業創新研發推動計畫（地方型 SBIR）,False,"enterprise,","industry-technology,plan-subject-other,","plan-restype-other,",https://www.penghu.gov.tw/economic/home.jsp?id=160,0,,,c4eb357b-9cf8-4b52-9709-d99b7656dd37,澎湖縣政府為協助本縣轄內小型企業經營佈局，並帶動小型企業創新研發活動，促進未來經濟。
高雄市政府,青年局青年創業補助實施計畫,False,"enterprise,","industry-technology,plan-subject-other,","financing-grant,",https://reurl.cc/37VbZ0,0,,,bad8ab5d-baa8-406d-a2c6-332fe2d44e65,為協助青年創業，高雄市政府青年局今(113)年持續辦理青年創業補助，因應不同發展階段及營業規模青創需求，今年「一般型補助」最高補助8萬元，受理期間為4月1日至4月12日；另新增「競爭型補助」，最高補助50萬元，受理期間為4月22日至5月31日。並為讓創業青年更加了解經營知識，今年也特別要求負責人需在申請前參加10或20小時創業輔導課程講座，歡迎符合資格並有資金需求的青創事業提出申請。
高雄市政府,「創意圓夢‧ 公益行動」計畫,False,"personal,apply-target-other,","plan-subject-other,","financing-grant,talent-cultivation,plan-restype-other,",https://play.kcg.gov.tw/News_Content.aspx?n=B5B880573E91A797&sms=2AB46CF525213852&s=2ADEBBDB9BAFACE2,0,,,ec1a34af-f2c7-491d-922e-1f341d2bc832,為鼓勵青少年發揮創意，結合公益關注社會，並以具體行動實踐夢想，透過回饋社會的行動讓青少年能量與社會接軌，同時創造青少年的自我價值，高雄市政府社會局鼓勵青少年以高雄在地議題或在地社區之需求為出發點，發揮自身所學及專長，規劃於高雄當地執行之公益行動方案，經提案審核通過者將可獲得經費補助。
高雄市政府,青創事業參展補助,False,"enterprise,","industry-technology,plan-subject-other,","financing-grant,",https://youth.kcg.gov.tw/Resource_Content.aspx?n=38&s=9721&sms=10161,0,,,a34bdc6b-4ecc-4d32-b05a-a0bc9845fcd5,為協助本市青創事業拓銷市場及提升行銷知名度，鼓勵青創事業積極參加展覽。
高雄市政府,社區營造點主題徵選計畫,False,"personal,people-team,apply-target-other,","cultural-history,plan-subject-other,","plan-restype-other,",https://khcc.kcg.gov.tw/rwd_home01.aspx?ID=13,1,高雄市政府文化局113年度社區營造點主題徵選計畫,https://www.twrr.ndc.gov.tw/core-api/resource/repo/2024/269873880.pdf,0269f974-0d0f-4bdb-8ee1-5eb4a787a719,為增進本市地方公民文化素養、形塑優質城市文化經濟，並落實文化平權，高雄市社區營造計畫之推動，立於堅實基礎，持續凝聚由下而上能量，與時俱進提出創新思維，展望未來共好社會。
高雄市政府,社區營造實施計畫,False,"people-team,","public-construction,","environment-construction,",https://urban-web.kcg.gov.tw/KDA/web_page/KDAN010100.jsp,1,113年度高雄市社區營造實施計畫_修正版20231228145029-7,https://www.twrr.ndc.gov.tw/core-api/resource/repo/2024/400461848.pdf,36f06080-0e8a-4505-8240-8b9461a827df,以多元輔助方案，提供社區申請新增社造點及維護管理等 2 大補助類型，導入淨零排放理念，並將溫室氣體減量相關措施納入提案評選之評分項目。協助社區改善生活環境品質，提升社區活力及引導社區自力植樹綠化，進行減碳綠化行動，展現在地特色，建構低碳永續家園。
臺南市政府,青年創業及中小企業信用保證專案貸款,False,"personal,enterprise,","industry-technology,country-farming,travel,technology-apply,plan-subject-other,","financing-grant,",https://economic.tainan.gov.tw/News_Content.aspx?n=5114&s=14169,0,,,0fa13dd1-8f04-4fa1-ac27-6d1fccc945b5,臺南市政府協助青年及中小企業創業，提供青年創業及中小企業信用保證專案貸款，設籍臺南市政府滿20-65 歲、符合中小企業認定標準者，提供最高500 萬貸款專案。
臺南市政府,臺南市地方產業創新研發推動計畫（地方型SBIR）,False,"enterprise,","cultural-history,industry-technology,country-farming,travel,technology-apply,plan-subject-other,","plan-restype-other,",https://www.tainan-sbir.org.tw/index.aspx,0,,,09edda14-81f2-452e-8006-6af6a6e504a5,為鼓勵中小企業創新研發，加速地方產業轉型，逐年編列預算、 爭取中央政府補助經費，辦理『臺南市地方產業創新研發推動計畫 （地方型SBIR）』。個別申請每案最高補助金額100 萬元、共同研發案最高補助金額200萬元、主題式聯盟最高補助金額500 萬元。
臺南市政府,經濟發展局推動商圈商業發展補助計畫,False,"people-team,","cultural-history,industry-technology,country-farming,travel,technology-apply,plan-subject-other,","plan-restype-other,",https://economic.tainan.gov.tw/News_Content.aspx?n=34548&s=7900219,0,,,32627e60-8e65-4969-8225-d9ec31845736,為協助本市民間團體推動地區商圈發展，提升商業及民生服務機能，進而活絡地方經濟、促使商圈店家永續經營，使有限資源發揮最大效益，爰辦理本補助計畫。
臺南市政府,臺南市個人社造參與獎勵計畫,False,"personal,","cultural-history,industry-technology,country-farming,travel,technology-apply,plan-subject-other,","plan-restype-other,",https://community-culture.tainan.gov.tw/news/index-1.php?m2=15&id=1286,0,,,d14afa16-efe4-4823-bb53-554700b77cbe,為鼓勵關注地方發展議題，具熱忱、專業且有意願投入社區營造之個人，以創新思維投入在地願景實踐，針對在地需求設計實驗性方案，連結多元議題、促進社群能量進入地方，激盪世代互動共好，特辦理本計畫徵選。
臺南市政府,社區營造計畫,False,"people-team,apply-target-other,","public-construction,","environment-construction,plan-restype-other,",https://community-culture.tainan.gov.tw/form/index-1.php?m2=27&id=88,0,,,5c83eca0-dd64-40e2-8b87-ca5a1f1ca63a,依據文化部補助直轄市及縣市政府推動社造三期及村落文化發展計畫作業要點辦理，以推動拓展社區創新能量、深化公民參與公共事務，落實文化平權、營造協力共好社會。
嘉義市政府,青年創業及中小企業貸款利息補貼計畫,False,"enterprise,","industry-technology,country-farming,travel,technology-apply,plan-subject-other,","financing-grant,",https://economic.chiayi.gov.tw/News_Content.aspx?n=23&sms=9003&s=420382,0,,,b913382c-58f5-4a79-9a05-94a9f66f9474,為鼓勵本市青年及中小企業勇於創業及擴大經營績效，減輕創業初期貸款利息支出，並促進本市工商發展繁榮經濟，以增加就業機會。
嘉義市政府,嘉義市青年創業獎勵補助計畫,False,"personal,enterprise,","industry-technology,travel,","financing-grant,plan-restype-other,",https://economic.chiayi.gov.tw/News_Content.aspx?n=23&sms=9003&s=806019,0,,,bb9173b5-9931-49f6-b4e4-c2c5768d0d70,嘉義市政府為支持青年新創事業發展，輔導具發展潛力之新創事業，協助青年確立市場定位、建立成功商業模式及穩定營運發展，以發展地方特色產業為範疇，進而促進發展嘉義市特色街區及經濟發展。
嘉義市政府,嘉義市地方產業創新研發推動計畫(地方型SBIR),False,"enterprise,","cultural-history,industry-technology,country-farming,travel,technology-apply,plan-subject-other,","plan-restype-other,",https://economic.chiayi.gov.tw/News.aspx?n=23&sms=9003,0,,,8e52814a-b3e5-4745-acda-328100c1ec24,為帶動中小企業創新研發活動，協助嘉義市中小企業知識布局以形成推波助瀾的效果，並期望運用研發成果扶植產業體系，促進嘉義市經濟。
數位發展部,普及智慧城鄉生活應用計畫,False,"enterprise,","public-construction,industry-technology,","environment-construction,management-counseling,",https://www.twsmartcity.org.tw/,0,,,252edf10-4016-4646-9af3-f5f500e69eec,配合行政院相關數位政策推動策略，推動跨部會、跨區域、跨領域合作發展數位創新應用，以完備發展智慧治理之基礎建設環境，加速城鄉智慧創新應用普及，並協助地方掌握城市即時資訊、深化數位治理能量，輔導民間產業加速升級轉型、提升營運管理效益，改善民眾智慧生活便利體驗，創造民眾有感之智慧服務。
國家通訊傳播委員會,基礎寬頻- 普及偏鄉寬頻接取基礎建設計畫,False,"enterprise,apply-target-other,","public-construction,","environment-construction,",https://moda.gov.tw/digital-affairs/communications-cyber-resilience/programs/6521,1,強化偏鄉地區 5G 寬頻服務與涵蓋－普及偏鄉寬頻接取環境計畫,https://www.twrr.ndc.gov.tw/core-api/resource/repo/2024/986133469.pdf,9ff4fea9-8420-4b50-9623-d83c6cfb0e8f,為普及偏鄉電信網路，強化接取網路的韌性，數位發展部藉由行政院核定之前瞻計畫，補助電信事業於偏鄉建置固定寬頻網路，讓民眾能享有便利的固定寬頻網路上網服務，改善偏鄉電信網路的普及。
原住民族委員會,平埔族群聚落活力計畫,False,"people-team,","cultural-history,public-construction,plan-subject-other,","talent-cultivation,environment-construction,",https://www.pthg.gov.tw/planIBP/News_Content.aspx?n=C81DA793E5A10118&s=2A7B73D243E117EF,0,,,ede3eee1-cd96-444c-ae0b-0331983a4022,一、建構平埔族群文化之復振、傳承及推廣之環境。  二、培力平埔族群文史與聚落營造人才，推動聚落營造工作。
原住民族委員會,文化健康綜合服務據點友善空間整建計畫,False,"local-government,","public-construction,","management-counseling,",https://www.cip.gov.tw/zh-tw/news/data-list/9A8362871EA0BBFF/28CAB1D3D2DCE7365215A8F293419C45-info.html,0,,,4ff03a87-aea5-426d-b03e-6c941ad3eb1a,一. 整建文化健康站提供部落長者無障礙友善空間，並運用部落在地人力及融合原住民族部落文化及景觀設施特色。 二. 提升文化健康站為綜合服務據點，包括簡易醫療、老人照顧、日間送餐、課後輔導等綜合性功能，營造友善服務環境。
原住民族委員會,原住民族企業創新創業輔導計畫,False,"personal,apply-target-other,","industry-technology,plan-subject-other,","financing-grant,management-counseling,",https://startup.cip.gov.tw/,0,,,8492b8cd-e91e-43bf-b55f-7b42ebc1aa6e,運用「企業創新轉型升級」、「量身診斷市場銜接」及「人才交易共創共好」等優化措施，辦理「創業先導計畫」、「百萬創業計畫」、「輔導創新研發」、「企業診斷服務」、「原住民族企業領袖班」等多元計畫，持續培育原住民族產業所需人才，進而創新創業，並輔以數位轉型提高經營效率，逐步推展原住民族亮點產業，進而推升原住民族產業發展動能。
原住民族委員會,推展原住民族經濟產業補助,False,"local-government,people-team,apply-target-other,","public-construction,travel,","environment-construction,management-counseling,",https://www.cip.gov.tw/zh-tw/news/data-list/9A8362871EA0BBFF/7AADFDAD93E0BBD376694672144C6E6C-info.html,0,,,f293a10c-06d9-4f88-8289-2adc28ba3dab,為推展原住民族經濟產業
原住民族委員會,文化健康綜合服務據點友善空間整建計畫,False,"local-government,apply-target-other,","public-construction,","environment-construction,",https://www.cip.gov.tw/zh-tw/news/data-list/9A8362871EA0BBFF/28CAB1D3D2DCE7365215A8F293419C45-info.html,0,,,78ef9a91-68c1-4b44-ae35-9f66f1e614ab,一. 整建文化健康站提供部落長者無障礙友善空間，並運用部落在地人力及融合原住民族部落文化及景觀設施特色。 二. 提升文化健康站為綜合服務據點，包括簡易醫療、老人照顧、日間送餐、課後輔導等綜合性功能，營造友善服務環境。
原住民族委員會,原住民族部落特色道路改善計畫,False,"local-government,","public-construction,","environment-construction,",https://www.cip.gov.tw/zh-tw/news/data-list/B291A6BD43F2B4A5/index.html?cumid=B291A6BD43F2B4A5,0,,,6377938a-3bb5-4f58-a767-4981b1a0ec6d,本計畫所稱「特色道路」係指原住民族部落聯外或銜接特色人文、產業，具交通連結及醫療救護功能之道路或橋梁。
農業部,社區林業計畫,False,"people-team,apply-target-other,","industry-technology,plan-subject-other,","talent-cultivation,environment-construction,",https://communityforestry.forest.gov.tw/,0,,,9adcb7cf-f65f-4149-8011-11f7e58f1898,森林是一項重要的自然及社會資源，由於本局各項林業施政如生物多樣性保育、森林生態旅遊、國家步道系統、平地景觀造林及綠美化、水土保育、林產品的研發生產等工作，皆與社區的自然生態、文化傳承、生活環境、產業發展及森林資源利用關係密切。在第一階段計畫裡，嘗試將社區營造與本局各項林業施政結合，建立社區參與林業經營的管道，並為社區進行各項培力( empowerment )工作，包括：林業知識與生態保育觀念的加強、社區人才培訓、林業經營觀念與技能的養成、文化技藝的傳承等等。
農業部,輔導國產農產品創新行銷計畫,False,"local-government,people-team,","country-farming,","plan-restype-other,",https://www.afa.gov.tw/cht/index.php?code=list&ids=353&mod_code=view&a_id=400,1,輔導國產農產品創新行銷計畫審查作業規範,https://www.twrr.ndc.gov.tw/core-api/resource/repo/2024/152421197.pdf,4feae273-65e4-4fe4-83d5-0be73e113df9,為推動地產地消及多元行銷，運用多樣化行銷策略，推廣新鮮、安全、優質之當季特色農產品，以有效創造商機，提高國產農產品消費，增進農民福祉，。
農業部,輔導設置農村社區農產品銷售據點計畫,False,"local-government,people-team,","public-construction,country-farming,","environment-construction,management-counseling,",https://www.afa.gov.tw/cht/index.php,1,農村產業跨域計畫及農村區域亮點計畫主軸及發展區域_113年度,https://www.twrr.ndc.gov.tw/core-api/resource/repo/2024/711083526.pdf,0c05e7df-18a7-452c-bd71-e8d506911980,輔導類型分為「農村社區小舖」、「農民市集」及「農民直銷站」三種模式，以新鮮、安全、安心及多樣化為訴求，由農民以當日或當季自產之生鮮農產品或初級加工品，自行訂價並擔負產品安全責任，透過面對面互動，將安心直接傳送給消費者，並讓農民親身感受農產品市場的銷售資訊。
農業部,農村產業跨域計畫及農村區域亮點計畫,False,"people-team,apply-target-other,","cultural-history,public-construction,country-farming,travel,plan-subject-other,","financing-grant,",https://www.ardswc.gov.tw/Home/News/proclamation_more?id=83e0142b39f64ba39d0a1340286cf944,1,農村產業跨域計畫及農村區域亮點計畫主軸及發展區域_113年度,https://www.twrr.ndc.gov.tw/core-api/resource/repo/2024/265424368.pdf,f4faf96c-a0e1-42f2-9af1-519e2b6b7f4c,分為產業規劃設計類、產業行銷推廣類、環境條件改善類、文化保存及活用類、生態保育類五大項
農業部,大專生洄游農村競賽,False,"apply-target-other,","country-farming,","plan-restype-other,",https://ruralup.ardswc.gov.tw/programs/9c633517-d9c0-47d9-8796-f8385b78ba13,0,,,d8ea91c8-2ef2-4f73-818e-65e1427868ec,為鼓勵年輕學子以自身創意或所學專長，學習與農村社區居民互動共識，參與或協助農村社區公共事務，並在社區推動農村再生的過程中提供協助，藉此瞭解農村、農民及農業等，引導更多年輕人以全新思維及技術，創造永續農村
農業部,大專院校農村實踐共創計畫,False,"apply-target-other,","country-farming,plan-subject-other,","talent-cultivation,",https://ruralup.ardswc.gov.tw/programs/957cad8d-105c-459e-a552-a0420edda736,0,,,36f15d46-138f-4d5e-bc94-66c91a1bb2b1,為鼓勵各大專院校透過創新課程，以全國公私立大學校院為計畫補助對象，由教師擔任計畫主持人，將專業知識融入實踐操作，帶領青年學子進入農村場域以跨域共創輔導手段，協助解決農業及農村等在地議題、累積青年學子實作體驗與服務經驗、青年觀點投入在地議題為農村導入新想法與創意，期望達到青年實踐、教育創新及農村共好之目的。
農業部,農村社區企業經營輔導,False,"enterprise,","country-farming,","management-counseling,",https://www.twrr.ndc.gov.tw/res/repo/2021/355246731.pdf,0,,,a8d4a3fa-e56a-4a45-b8e5-63c7dba0da6d,為促進農村永續發展及農村活化再生，輔導、鼓勵農村社區產業朝向企業化經營，扶植農村社區企業，提升農村社區產業競爭力、促進產業加值創新。
農業部,青年回留農村創新計畫,False,"people-team,","country-farming,plan-subject-other,","talent-cultivation,",https://ruralup.ardswc.gov.tw/programs/24e9cb3a-c228-427d-b370-c59a2b53af93,0,,,4043b83d-3cef-46de-b66b-517ca2784db5,針對農民團體、財團法人、依法立案之社區發展協會或社會團體跨域合作所設定 之經營目標，鼓勵導入青年人力，協助建立經營模式及規劃執行方案，提出未來 創新推動重點及發展策略，以符合農村或農業社會實際需求面向，並創造農村三 生新價值及特色亮點等區域發展。
農業部,青年回鄉行動獎勵計畫,False,"personal,apply-target-other,","country-farming,plan-subject-other,","talent-cultivation,plan-restype-other,",https://ruralup.ardswc.gov.tw/programs/b4cc563a-0665-463c-a346-409af701329d,0,,,00c964dd-c775-498c-831b-f33806c5d257,為鼓勵青年學子或回鄉青年依所發掘之農村相關問題導入創意構想，由青年個人、青年組成團隊由一位青年代表提出行動計畫，發揮社會影響力，創造農村三生新價值，以達青年返回農村並留下來服務農村之目標。
農業部,業界科專計畫,False,"enterprise,people-team,","country-farming,plan-subject-other,","financing-grant,plan-restype-other,",https://agtech.moa.gov.tw/Field/page,0,,,2339179b-49d2-4518-9857-3ac7cd5dfafd,為鼓勵企業主動投入經費於自行研發，或將已有初步研發成果之技術與產品商品化，以加速農業科技之產業化及提升農業產業競爭力，農業部推動「農業業界科專計畫」，提供農產品創作事項以外之農業創新或研究發展相關活動補助。
農業部,補助直轄市及縣（市）政府推動社區農村再生計畫,False,"local-government,","cultural-history,public-construction,industry-technology,country-farming,","financing-grant,environment-construction,",https://www.ardswc.gov.tw/Home/News/proclamation_more?id=a550e33bc02f4e6ebf1dbe1c6cc11e77,0,,,c1c3a43d-3c24-49c1-894f-882c72c162b6,計畫補助分為四類型：一. 產業活化類、二. 文化保存與活用類、三. 生態保育類、四. 農村社區整體環境改善及公共設施建設類
衛生福利部,整建長照衛福據點整備計畫,False,"local-government,","public-construction,","environment-construction,",https://www.mohw.gov.tw/cp-3874-75310-1.html,0,,,15ee5e4e-9f23-4a7d-9fa8-19df0d1e3e60,"為落實普及社區長照服務，透過推動長照 2.0 推動社區整體照顧服務體系，於 109 年底至少布建 3,827 處 ABC 服務據點，並於原偏鄉、離島地區因地制宜布建照顧管理中心照管分站，讓在地有長照服務需求家庭，可就近獲得服務，提升長照服務之近便性。"
勞動部,多元就業開發方案,False,"personal,people-team,","plan-subject-other,","financing-grant,",https://www.wda.gov.tw/cp.aspx?n=C87DBAD8E7B8A8E3,0,,,ca65e13d-d0f4-47ee-9c5e-d79a5704f551,建構民間團體與政府部門間促進就業之合作夥伴關係，透過促進地方發展，提升社會福祉之計畫，創造失業者在地就業機會。
經濟部,在地青年創育坊補助計畫,False,"enterprise,people-team,","plan-subject-other,","management-counseling,",https://incubator.sme.gov.tw/related-activities/incubator.html,0,,,1638c087-cc0b-466c-99ad-cd88a10d4af1,經濟部中小及新創企業署「在地青年創育坊補助計畫」係為建立支持在地青年創育輔導體系，直接串連在地青創社群，將資源落實於在地青年發展需求，以青年培力來發展在地，增加青年返（留）鄉創業助力，讓青年創業在地扎根，帶動地方創新及發展契機。
經濟部,推動中小企業城鄉創生轉型輔導計畫（SBTR）,False,"enterprise,","industry-technology,country-farming,travel,plan-subject-other,","financing-grant,plan-restype-other,",https://sbtr.org.tw/frontend/index.aspx,0,,,1deb9d5a-7ceb-40cb-91c5-7824d1401af4,行政院將2019年訂為「臺灣地方創生元年」，為落實地方創生，鼓勵國內中小企業以經濟力、特色力、整合力等三大概念發展城鄉事業，透過改造活化創生場域、塑造在地文化、發展特色產業、創新商業模式，健全企業體質，發揮在地示範性與影響力，加速地方產業轉型、提升產業競爭力，促進地方經濟發展及創造在地就業機會，帶動人口回流及區域均衡發展，達成城鄉創生之目標。
經濟部,工業局協助傳統產業技術開發計畫,False,"enterprise,","industry-technology,plan-subject-other,","financing-grant,plan-restype-other,",https://citd.cpc.tw/CITDWeb/Web/Index.aspx,0,,,0eeeabe2-479c-45aa-b9c2-6605fa625699,我國傳統產業昔日核心競爭優勢，大量生產之代工模式及生產後之運籌能力，因中國大陸、東歐等新興國家投入國際市場，挾其勞資低廉和高成長之內需市場等因素而逐漸式微。為解決傳統產業所面臨之困境，經濟部於99年11月15日依產業創新條例第九條第二項訂定「經濟部協助產業創新活動補助及輔導辦法」，據以推動「協助傳統產業技術開發計畫」，期透過提供傳統產業研發補助資金，鼓勵業者自主研發，以厚植我國傳統產業之創新研發能力、加速升級轉型及提升競爭力。
